comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
protocol,oulab,2,2,base_lr_profile,0.01,activity_conditioned,cutoff_valid,0.01079136690647482,6,556
protocol,oulab,2,2,base_lr_profile,0.01,activity_to_cutoff_valid,cutoff_valid,0.054409005628517824,29,533
protocol,oulab,2,2,base_lr_profile,0.01,cutoff_valid_to_activity,cutoff_valid,0.012612612612612612,7,555
protocol,oulab,2,2,base_lr_profile,0.01,static_full,cutoff_valid,0.1831578947368421,87,475
evaluation_population,oulab,2,2,base_lr_profile,0.01,activity_conditioned,activity_to_cutoff_valid,0.7082066869300911,233,329
evaluation_population,oulab,2,2,base_lr_profile,0.01,cutoff_valid,cutoff_valid_to_activity,0.012612612612612612,7,555
protocol,oulab,2,2,base_lr_profile,0.05,activity_conditioned,cutoff_valid,0.1494064674580434,365,2443
protocol,oulab,2,2,base_lr_profile,0.05,activity_to_cutoff_valid,cutoff_valid,0.2108667529107374,489,2319
protocol,oulab,2,2,base_lr_profile,0.05,cutoff_valid_to_activity,cutoff_valid,0.15460526315789475,376,2432
protocol,oulab,2,2,base_lr_profile,0.05,static_full,cutoff_valid,0.20205479452054795,472,2336
evaluation_population,oulab,2,2,base_lr_profile,0.05,activity_conditioned,activity_to_cutoff_valid,0.7376237623762376,1192,1616
evaluation_population,oulab,2,2,base_lr_profile,0.05,cutoff_valid,cutoff_valid_to_activity,0.15460526315789475,376,2432
protocol,oulab,2,2,base_lr_profile,0.1,activity_conditioned,cutoff_valid,0.31676436107854633,1351,4265
protocol,oulab,2,2,base_lr_profile,0.1,activity_to_cutoff_valid,cutoff_valid,0.4018971542685971,1610,4006
protocol,oulab,2,2,base_lr_profile,0.1,cutoff_valid_to_activity,cutoff_valid,0.3416149068322981,1430,4186
protocol,oulab,2,2,base_lr_profile,0.1,static_full,cutoff_valid,0.2153213590132006,995,4621
evaluation_population,oulab,2,2,base_lr_profile,0.1,activity_conditioned,activity_to_cutoff_valid,0.7605015673981191,2426,3190
evaluation_population,oulab,2,2,base_lr_profile,0.1,cutoff_valid,cutoff_valid_to_activity,0.3416149068322981,1430,4186
protocol,oulab,2,2,base_lr_profile,0.2,activity_conditioned,cutoff_valid,0.5005347593582887,3744,7480
protocol,oulab,2,2,base_lr_profile,0.2,activity_to_cutoff_valid,cutoff_valid,0.6163594470046083,4280,6944
protocol,oulab,2,2,base_lr_profile,0.2,cutoff_valid_to_activity,cutoff_valid,0.5474975872052944,3971,7253
protocol,oulab,2,2,base_lr_profile,0.2,static_full,cutoff_valid,0.3254605573925366,2756,8468
evaluation_population,oulab,2,2,base_lr_profile,0.2,activity_conditioned,activity_to_cutoff_valid,0.7762304162050957,4905,6319
evaluation_population,oulab,2,2,base_lr_profile,0.2,cutoff_valid,cutoff_valid_to_activity,0.5474975872052944,3971,7253
protocol,oulab,2,2,base_rf_gini,0.01,activity_conditioned,cutoff_valid,0.054409005628517824,29,533
protocol,oulab,2,2,base_rf_gini,0.01,activity_to_cutoff_valid,cutoff_valid,0.24061810154525387,109,453
protocol,oulab,2,2,base_rf_gini,0.01,cutoff_valid_to_activity,cutoff_valid,0.06439393939393939,34,528
protocol,oulab,2,2,base_rf_gini,0.01,static_full,cutoff_valid,0.054409005628517824,29,533
evaluation_population,oulab,2,2,base_rf_gini,0.01,activity_conditioned,activity_to_cutoff_valid,0.32860520094562645,139,423
evaluation_population,oulab,2,2,base_rf_gini,0.01,cutoff_valid,cutoff_valid_to_activity,0.06439393939393939,34,528
protocol,oulab,2,2,base_rf_gini,0.05,activity_conditioned,cutoff_valid,0.2140077821011673,495,2313
protocol,oulab,2,2,base_rf_gini,0.05,activity_to_cutoff_valid,cutoff_valid,0.5669642857142857,1016,1792
protocol,oulab,2,2,base_rf_gini,0.05,cutoff_valid_to_activity,cutoff_valid,0.2541313086199196,569,2239
protocol,oulab,2,2,base_rf_gini,0.05,static_full,cutoff_valid,0.1147280666931322,289,2519
evaluation_population,oulab,2,2,base_rf_gini,0.05,activity_conditioned,activity_to_cutoff_valid,0.3784977908689249,771,2037
evaluation_population,oulab,2,2,base_rf_gini,0.05,cutoff_valid,cutoff_valid_to_activity,0.2541313086199196,569,2239
protocol,oulab,2,2,base_rf_gini,0.1,activity_conditioned,cutoff_valid,0.3273457811392106,1385,4231
protocol,oulab,2,2,base_rf_gini,0.1,activity_to_cutoff_valid,cutoff_valid,0.6941176470588235,2301,3315
protocol,oulab,2,2,base_rf_gini,0.1,cutoff_valid_to_activity,cutoff_valid,0.37680804118656536,1537,4079
protocol,oulab,2,2,base_rf_gini,0.1,static_full,cutoff_valid,0.17,816,4800
evaluation_population,oulab,2,2,base_rf_gini,0.1,activity_conditioned,activity_to_cutoff_valid,0.4628809585829643,1777,3839
evaluation_population,oulab,2,2,base_rf_gini,0.1,cutoff_valid,cutoff_valid_to_activity,0.37680804118656536,1537,4079
protocol,oulab,2,2,base_rf_gini,0.2,activity_conditioned,cutoff_valid,0.4836748182419035,3659,7565
protocol,oulab,2,2,base_rf_gini,0.2,activity_to_cutoff_valid,cutoff_valid,0.8123688034878088,5031,6193
protocol,oulab,2,2,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid,0.5266594124047879,3872,7352
protocol,oulab,2,2,base_rf_gini,0.2,static_full,cutoff_valid,0.28186386477843767,2468,8756
evaluation_population,oulab,2,2,base_rf_gini,0.2,activity_conditioned,activity_to_cutoff_valid,0.5700097915792418,4075,7149
evaluation_population,oulab,2,2,base_rf_gini,0.2,cutoff_valid,cutoff_valid_to_activity,0.5266594124047879,3872,7352
protocol,oulab,2,2,stack_7_full,0.01,activity_conditioned,cutoff_valid,0.06641366223908918,35,527
protocol,oulab,2,2,stack_7_full,0.01,activity_to_cutoff_valid,cutoff_valid,0.37745098039215685,154,408
protocol,oulab,2,2,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid,0.1217564870259481,61,501
protocol,oulab,2,2,stack_7_full,0.01,static_full,cutoff_valid,0.0583804143126177,31,531
evaluation_population,oulab,2,2,stack_7_full,0.01,activity_conditioned,activity_to_cutoff_valid,0.20600858369098712,96,466
evaluation_population,oulab,2,2,stack_7_full,0.01,cutoff_valid,cutoff_valid_to_activity,0.1217564870259481,61,501
protocol,oulab,2,2,stack_7_full,0.05,activity_conditioned,cutoff_valid,0.20102651839178784,470,2338
protocol,oulab,2,2,stack_7_full,0.05,activity_to_cutoff_valid,cutoff_valid,0.6091690544412608,1063,1745
protocol,oulab,2,2,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid,0.27520435967302453,606,2202
protocol,oulab,2,2,stack_7_full,0.05,static_full,cutoff_valid,0.111199050257222,281,2527
evaluation_population,oulab,2,2,stack_7_full,0.05,activity_conditioned,activity_to_cutoff_valid,0.3048327137546468,656,2152
evaluation_population,oulab,2,2,stack_7_full,0.05,cutoff_valid,cutoff_valid_to_activity,0.27520435967302453,606,2202
protocol,oulab,2,2,stack_7_full,0.1,activity_conditioned,cutoff_valid,0.3198589894242068,1361,4255
protocol,oulab,2,2,stack_7_full,0.1,activity_to_cutoff_valid,cutoff_valid,0.7566468564279012,2419,3197
protocol,oulab,2,2,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid,0.38941118258287977,1574,4042
protocol,oulab,2,2,stack_7_full,0.1,static_full,cutoff_valid,0.15913312693498452,771,4845
evaluation_population,oulab,2,2,stack_7_full,0.1,activity_conditioned,activity_to_cutoff_valid,0.40119760479041916,1608,4008
evaluation_population,oulab,2,2,stack_7_full,0.1,cutoff_valid,cutoff_valid_to_activity,0.38941118258287977,1574,4042
protocol,oulab,2,2,stack_7_full,0.2,activity_conditioned,cutoff_valid,0.4702646057112916,3590,7634
protocol,oulab,2,2,stack_7_full,0.2,activity_to_cutoff_valid,cutoff_valid,0.8484848484848485,5152,6072
protocol,oulab,2,2,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid,0.5229308005427409,3854,7370
protocol,oulab,2,2,stack_7_full,0.2,static_full,cutoff_valid,0.2683919086902475,2375,8849
evaluation_population,oulab,2,2,stack_7_full,0.2,activity_conditioned,activity_to_cutoff_valid,0.5241716458446496,3860,7364
evaluation_population,oulab,2,2,stack_7_full,0.2,cutoff_valid,cutoff_valid_to_activity,0.5229308005427409,3854,7370
protocol,oulab,2,2,temporal_hgb,0.01,activity_conditioned,cutoff_valid,0.007168458781362007,4,558
protocol,oulab,2,2,temporal_hgb,0.01,activity_to_cutoff_valid,cutoff_valid,0.15637860082304528,76,486
protocol,oulab,2,2,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid,0.007168458781362007,4,558
protocol,oulab,2,2,temporal_hgb,0.01,static_full,cutoff_valid,0.1172962226640159,59,503
evaluation_population,oulab,2,2,temporal_hgb,0.01,activity_conditioned,activity_to_cutoff_valid,0.1062992125984252,54,508
evaluation_population,oulab,2,2,temporal_hgb,0.01,cutoff_valid,cutoff_valid_to_activity,0.007168458781362007,4,558
protocol,oulab,2,2,temporal_hgb,0.05,activity_conditioned,cutoff_valid,0.10681907765076862,271,2537
protocol,oulab,2,2,temporal_hgb,0.05,activity_to_cutoff_valid,cutoff_valid,0.6344586728754366,1090,1718
protocol,oulab,2,2,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid,0.11872509960159362,298,2510
protocol,oulab,2,2,temporal_hgb,0.05,static_full,cutoff_valid,0.18531025749261293,439,2369
evaluation_population,oulab,2,2,temporal_hgb,0.05,activity_conditioned,activity_to_cutoff_valid,0.1574608408903545,382,2426
evaluation_population,oulab,2,2,temporal_hgb,0.05,cutoff_valid,cutoff_valid_to_activity,0.11872509960159362,298,2510
protocol,oulab,2,2,temporal_hgb,0.1,activity_conditioned,cutoff_valid,0.2720271800679502,1201,4415
protocol,oulab,2,2,temporal_hgb,0.1,activity_to_cutoff_valid,cutoff_valid,0.7693761814744802,2442,3174
protocol,oulab,2,2,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid,0.30301624129930393,1306,4310
protocol,oulab,2,2,temporal_hgb,0.1,static_full,cutoff_valid,0.2137454073913983,989,4627
evaluation_population,oulab,2,2,temporal_hgb,0.1,activity_conditioned,activity_to_cutoff_valid,0.32079021636876764,1364,4252
evaluation_population,oulab,2,2,temporal_hgb,0.1,cutoff_valid,cutoff_valid_to_activity,0.30301624129930393,1306,4310
protocol,oulab,2,2,temporal_hgb,0.2,activity_conditioned,cutoff_valid,0.4574730554473445,3523,7701
protocol,oulab,2,2,temporal_hgb,0.2,activity_to_cutoff_valid,cutoff_valid,0.8731642189586115,5232,5992
protocol,oulab,2,2,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid,0.4991318285027381,3737,7487
protocol,oulab,2,2,temporal_hgb,0.2,static_full,cutoff_valid,0.29922444727399006,2585,8639
evaluation_population,oulab,2,2,temporal_hgb,0.2,activity_conditioned,activity_to_cutoff_valid,0.4961343641695548,3722,7502
evaluation_population,oulab,2,2,temporal_hgb,0.2,cutoff_valid,cutoff_valid_to_activity,0.4991318285027381,3737,7487
protocol,oulab,4,4,base_lr_profile,0.01,activity_conditioned,cutoff_valid,0.035916824196597356,19,529
protocol,oulab,4,4,base_lr_profile,0.01,activity_to_cutoff_valid,cutoff_valid,0.06407766990291262,33,515
protocol,oulab,4,4,base_lr_profile,0.01,cutoff_valid_to_activity,cutoff_valid,0.03984819734345351,21,527
protocol,oulab,4,4,base_lr_profile,0.01,static_full,cutoff_valid,0.12065439672801637,59,489
evaluation_population,oulab,4,4,base_lr_profile,0.01,activity_conditioned,activity_to_cutoff_valid,0.7232704402515723,230,318
evaluation_population,oulab,4,4,base_lr_profile,0.01,cutoff_valid,cutoff_valid_to_activity,0.03984819734345351,21,527
protocol,oulab,4,4,base_lr_profile,0.05,activity_conditioned,cutoff_valid,0.31483253588516746,658,2090
protocol,oulab,4,4,base_lr_profile,0.05,activity_to_cutoff_valid,cutoff_valid,0.3899848254931715,771,1977
protocol,oulab,4,4,base_lr_profile,0.05,cutoff_valid_to_activity,cutoff_valid,0.37882589061716004,755,1993
protocol,oulab,4,4,base_lr_profile,0.05,static_full,cutoff_valid,0.12438625204582651,304,2444
evaluation_population,oulab,4,4,base_lr_profile,0.05,activity_conditioned,activity_to_cutoff_valid,0.7348484848484849,1164,1584
evaluation_population,oulab,4,4,base_lr_profile,0.05,cutoff_valid,cutoff_valid_to_activity,0.37882589061716004,755,1993
protocol,oulab,4,4,base_lr_profile,0.1,activity_conditioned,cutoff_valid,0.4624169986719788,1741,3765
protocol,oulab,4,4,base_lr_profile,0.1,activity_to_cutoff_valid,cutoff_valid,0.554050239909681,1963,3543
protocol,oulab,4,4,base_lr_profile,0.1,cutoff_valid_to_activity,cutoff_valid,0.5553672316384181,1966,3540
protocol,oulab,4,4,base_lr_profile,0.1,static_full,cutoff_valid,0.13948675496688742,674,4832
evaluation_population,oulab,4,4,base_lr_profile,0.1,activity_conditioned,activity_to_cutoff_valid,0.7585435962951134,2375,3131
evaluation_population,oulab,4,4,base_lr_profile,0.1,cutoff_valid,cutoff_valid_to_activity,0.5553672316384181,1966,3540
protocol,oulab,4,4,base_lr_profile,0.2,activity_conditioned,cutoff_valid,0.6053628679685223,4154,6862
protocol,oulab,4,4,base_lr_profile,0.2,activity_to_cutoff_valid,cutoff_valid,0.7201748906933166,4612,6404
protocol,oulab,4,4,base_lr_profile,0.2,cutoff_valid_to_activity,cutoff_valid,0.6971190879679556,4525,6491
protocol,oulab,4,4,base_lr_profile,0.2,static_full,cutoff_valid,0.2839160839160839,2436,8580
evaluation_population,oulab,4,4,base_lr_profile,0.2,activity_conditioned,activity_to_cutoff_valid,0.7762012254111577,4814,6202
evaluation_population,oulab,4,4,base_lr_profile,0.2,cutoff_valid,cutoff_valid_to_activity,0.6971190879679556,4525,6491
protocol,oulab,4,4,base_rf_gini,0.01,activity_conditioned,cutoff_valid,0.07240704500978473,37,511
protocol,oulab,4,4,base_rf_gini,0.01,activity_to_cutoff_valid,cutoff_valid,0.19912472647702406,91,457
protocol,oulab,4,4,base_rf_gini,0.01,cutoff_valid_to_activity,cutoff_valid,0.12525667351129363,61,487
protocol,oulab,4,4,base_rf_gini,0.01,static_full,cutoff_valid,0.05384615384615385,28,520
evaluation_population,oulab,4,4,base_rf_gini,0.01,activity_conditioned,activity_to_cutoff_valid,0.21507760532150777,97,451
evaluation_population,oulab,4,4,base_rf_gini,0.01,cutoff_valid,cutoff_valid_to_activity,0.12525667351129363,61,487
protocol,oulab,4,4,base_rf_gini,0.05,activity_conditioned,cutoff_valid,0.1890956295975768,437,2311
protocol,oulab,4,4,base_rf_gini,0.05,activity_to_cutoff_valid,cutoff_valid,0.7559105431309904,1183,1565
protocol,oulab,4,4,base_rf_gini,0.05,cutoff_valid_to_activity,cutoff_valid,0.23063143752798926,515,2233
protocol,oulab,4,4,base_rf_gini,0.05,static_full,cutoff_valid,0.08573686290003951,217,2531
evaluation_population,oulab,4,4,base_rf_gini,0.05,activity_conditioned,activity_to_cutoff_valid,0.22898032200357782,512,2236
evaluation_population,oulab,4,4,base_rf_gini,0.05,cutoff_valid,cutoff_valid_to_activity,0.23063143752798926,515,2233
protocol,oulab,4,4,base_rf_gini,0.1,activity_conditioned,cutoff_valid,0.2867492404767469,1227,4279
protocol,oulab,4,4,base_rf_gini,0.1,activity_to_cutoff_valid,cutoff_valid,0.8117801908522541,2467,3039
protocol,oulab,4,4,base_rf_gini,0.1,cutoff_valid_to_activity,cutoff_valid,0.33123791102514505,1370,4136
protocol,oulab,4,4,base_rf_gini,0.1,static_full,cutoff_valid,0.11819658813972381,582,4924
evaluation_population,oulab,4,4,base_rf_gini,0.1,activity_conditioned,activity_to_cutoff_valid,0.3226038914244535,1343,4163
evaluation_population,oulab,4,4,base_rf_gini,0.1,cutoff_valid,cutoff_valid_to_activity,0.33123791102514505,1370,4136
protocol,oulab,4,4,base_rf_gini,0.2,activity_conditioned,cutoff_valid,0.4697798532354903,3521,7495
protocol,oulab,4,4,base_rf_gini,0.2,activity_to_cutoff_valid,cutoff_valid,0.8856555973981514,5174,5842
protocol,oulab,4,4,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid,0.4993875051041241,3669,7347
protocol,oulab,4,4,base_rf_gini,0.2,static_full,cutoff_valid,0.18375241779497098,1710,9306
evaluation_population,oulab,4,4,base_rf_gini,0.2,activity_conditioned,activity_to_cutoff_valid,0.501431102630503,3679,7337
evaluation_population,oulab,4,4,base_rf_gini,0.2,cutoff_valid,cutoff_valid_to_activity,0.4993875051041241,3669,7347
protocol,oulab,4,4,stack_7_full,0.01,activity_conditioned,cutoff_valid,0.10261569416498995,51,497
protocol,oulab,4,4,stack_7_full,0.01,activity_to_cutoff_valid,cutoff_valid,0.3530864197530864,143,405
protocol,oulab,4,4,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid,0.1759656652360515,82,466
protocol,oulab,4,4,stack_7_full,0.01,static_full,cutoff_valid,0.059961315280464215,31,517
evaluation_population,oulab,4,4,stack_7_full,0.01,activity_conditioned,activity_to_cutoff_valid,0.21507760532150777,97,451
evaluation_population,oulab,4,4,stack_7_full,0.01,cutoff_valid,cutoff_valid_to_activity,0.1759656652360515,82,466
protocol,oulab,4,4,stack_7_full,0.05,activity_conditioned,cutoff_valid,0.20052424639580602,459,2289
protocol,oulab,4,4,stack_7_full,0.05,activity_to_cutoff_valid,cutoff_valid,0.7164272329793879,1147,1601
protocol,oulab,4,4,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid,0.2507965407373691,551,2197
protocol,oulab,4,4,stack_7_full,0.05,static_full,cutoff_valid,0.08188976377952756,208,2540
evaluation_population,oulab,4,4,stack_7_full,0.05,activity_conditioned,activity_to_cutoff_valid,0.25594149908592323,560,2188
evaluation_population,oulab,4,4,stack_7_full,0.05,cutoff_valid,cutoff_valid_to_activity,0.2507965407373691,551,2197
protocol,oulab,4,4,stack_7_full,0.1,activity_conditioned,cutoff_valid,0.2783840260041792,1199,4307
protocol,oulab,4,4,stack_7_full,0.1,activity_to_cutoff_valid,cutoff_valid,0.8420876547340248,2517,2989
protocol,oulab,4,4,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid,0.30970504281636535,1302,4204
protocol,oulab,4,4,stack_7_full,0.1,static_full,cutoff_valid,0.11728896103896104,578,4928
evaluation_population,oulab,4,4,stack_7_full,0.1,activity_conditioned,activity_to_cutoff_valid,0.29889124793583394,1267,4239
evaluation_population,oulab,4,4,stack_7_full,0.1,cutoff_valid,cutoff_valid_to_activity,0.30970504281636535,1302,4204
protocol,oulab,4,4,stack_7_full,0.2,activity_conditioned,cutoff_valid,0.4479495268138801,3408,7608
protocol,oulab,4,4,stack_7_full,0.2,activity_to_cutoff_valid,cutoff_valid,0.8950627902976088,5203,5813
protocol,oulab,4,4,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid,0.464698843238931,3495,7521
protocol,oulab,4,4,stack_7_full,0.2,static_full,cutoff_valid,0.1826086956521739,1701,9315
evaluation_population,oulab,4,4,stack_7_full,0.2,activity_conditioned,activity_to_cutoff_valid,0.4612017508953442,3477,7539
evaluation_population,oulab,4,4,stack_7_full,0.2,cutoff_valid,cutoff_valid_to_activity,0.464698843238931,3495,7521
protocol,oulab,4,4,temporal_hgb,0.01,activity_conditioned,cutoff_valid,0.04380952380952381,23,525
protocol,oulab,4,4,temporal_hgb,0.01,activity_to_cutoff_valid,cutoff_valid,0.12525667351129363,61,487
protocol,oulab,4,4,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid,0.23146067415730337,103,445
protocol,oulab,4,4,temporal_hgb,0.01,static_full,cutoff_valid,0.06614785992217899,34,514
evaluation_population,oulab,4,4,temporal_hgb,0.01,activity_conditioned,activity_to_cutoff_valid,0.2744186046511628,118,430
evaluation_population,oulab,4,4,temporal_hgb,0.01,cutoff_valid,cutoff_valid_to_activity,0.23146067415730337,103,445
protocol,oulab,4,4,temporal_hgb,0.05,activity_conditioned,cutoff_valid,0.1639135959339263,387,2361
protocol,oulab,4,4,temporal_hgb,0.05,activity_to_cutoff_valid,cutoff_valid,0.5649202733485194,992,1756
protocol,oulab,4,4,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid,0.3372262773722628,693,2055
protocol,oulab,4,4,temporal_hgb,0.05,static_full,cutoff_valid,0.09394904458598727,236,2512
evaluation_population,oulab,4,4,temporal_hgb,0.05,activity_conditioned,activity_to_cutoff_valid,0.27340129749768305,590,2158
evaluation_population,oulab,4,4,temporal_hgb,0.05,cutoff_valid,cutoff_valid_to_activity,0.3372262773722628,693,2055
protocol,oulab,4,4,temporal_hgb,0.1,activity_conditioned,cutoff_valid,0.26778724384066316,1163,4343
protocol,oulab,4,4,temporal_hgb,0.1,activity_to_cutoff_valid,cutoff_valid,0.7110006215040398,2288,3218
protocol,oulab,4,4,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid,0.4253171110535853,1643,3863
protocol,oulab,4,4,temporal_hgb,0.1,static_full,cutoff_valid,0.1268931641424478,620,4886
evaluation_population,oulab,4,4,temporal_hgb,0.1,activity_conditioned,activity_to_cutoff_valid,0.3544895448954489,1441,4065
evaluation_population,oulab,4,4,temporal_hgb,0.1,cutoff_valid,cutoff_valid_to_activity,0.4253171110535853,1643,3863
protocol,oulab,4,4,temporal_hgb,0.2,activity_conditioned,cutoff_valid,0.4741067844239261,3543,7473
protocol,oulab,4,4,temporal_hgb,0.2,activity_to_cutoff_valid,cutoff_valid,0.8532974427994616,5072,5944
protocol,oulab,4,4,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid,0.5515492957746478,3916,7100
protocol,oulab,4,4,temporal_hgb,0.2,static_full,cutoff_valid,0.2001307331953372,1837,9179
evaluation_population,oulab,4,4,temporal_hgb,0.2,activity_conditioned,activity_to_cutoff_valid,0.5073891625615764,3708,7308
evaluation_population,oulab,4,4,temporal_hgb,0.2,cutoff_valid,cutoff_valid_to_activity,0.5515492957746478,3916,7100
protocol,oulab,6,6,base_lr_profile,0.01,activity_conditioned,cutoff_valid,0.05697445972495088,29,509
protocol,oulab,6,6,base_lr_profile,0.01,activity_to_cutoff_valid,cutoff_valid,0.08032128514056225,40,498
protocol,oulab,6,6,base_lr_profile,0.01,cutoff_valid_to_activity,cutoff_valid,0.06534653465346535,33,505
protocol,oulab,6,6,base_lr_profile,0.01,static_full,cutoff_valid,0.10699588477366255,52,486
evaluation_population,oulab,6,6,base_lr_profile,0.01,activity_conditioned,activity_to_cutoff_valid,0.6918238993710691,220,318
evaluation_population,oulab,6,6,base_lr_profile,0.01,cutoff_valid,cutoff_valid_to_activity,0.06534653465346535,33,505
protocol,oulab,6,6,base_lr_profile,0.05,activity_conditioned,cutoff_valid,0.33201970443349754,674,2030
protocol,oulab,6,6,base_lr_profile,0.05,activity_to_cutoff_valid,cutoff_valid,0.4209143457698371,801,1903
protocol,oulab,6,6,base_lr_profile,0.05,cutoff_valid_to_activity,cutoff_valid,0.4322033898305085,816,1888
protocol,oulab,6,6,base_lr_profile,0.05,static_full,cutoff_valid,0.11047227926078029,269,2435
evaluation_population,oulab,6,6,base_lr_profile,0.05,activity_conditioned,activity_to_cutoff_valid,0.7092288242730721,1122,1582
evaluation_population,oulab,6,6,base_lr_profile,0.05,cutoff_valid,cutoff_valid_to_activity,0.4322033898305085,816,1888
protocol,oulab,6,6,base_lr_profile,0.1,activity_conditioned,cutoff_valid,0.467680608365019,1722,3682
protocol,oulab,6,6,base_lr_profile,0.1,activity_to_cutoff_valid,cutoff_valid,0.5645628257093225,1950,3454
protocol,oulab,6,6,base_lr_profile,0.1,cutoff_valid_to_activity,cutoff_valid,0.588477366255144,2002,3402
protocol,oulab,6,6,base_lr_profile,0.1,static_full,cutoff_valid,0.12,579,4825
evaluation_population,oulab,6,6,base_lr_profile,0.1,activity_conditioned,activity_to_cutoff_valid,0.732051282051282,2284,3120
evaluation_population,oulab,6,6,base_lr_profile,0.1,cutoff_valid,cutoff_valid_to_activity,0.588477366255144,2002,3402
protocol,oulab,6,6,base_lr_profile,0.2,activity_conditioned,cutoff_valid,0.5926308032424465,4021,6785
protocol,oulab,6,6,base_lr_profile,0.2,activity_to_cutoff_valid,cutoff_valid,0.7237198915297496,4537,6269
protocol,oulab,6,6,base_lr_profile,0.2,cutoff_valid_to_activity,cutoff_valid,0.7003933910306845,4451,6355
protocol,oulab,6,6,base_lr_profile,0.2,static_full,cutoff_valid,0.26489523586562097,2263,8543
evaluation_population,oulab,6,6,base_lr_profile,0.2,activity_conditioned,activity_to_cutoff_valid,0.7423411802644309,4604,6202
evaluation_population,oulab,6,6,base_lr_profile,0.2,cutoff_valid,cutoff_valid_to_activity,0.7003933910306845,4451,6355
protocol,oulab,6,6,base_rf_gini,0.01,activity_conditioned,cutoff_valid,0.1115702479338843,54,484
protocol,oulab,6,6,base_rf_gini,0.01,activity_to_cutoff_valid,cutoff_valid,0.28095238095238095,118,420
protocol,oulab,6,6,base_rf_gini,0.01,cutoff_valid_to_activity,cutoff_valid,0.15948275862068967,74,464
protocol,oulab,6,6,base_rf_gini,0.01,static_full,cutoff_valid,0.05078125,26,512
evaluation_population,oulab,6,6,base_rf_gini,0.01,activity_conditioned,activity_to_cutoff_valid,0.228310502283105,100,438
evaluation_population,oulab,6,6,base_rf_gini,0.01,cutoff_valid,cutoff_valid_to_activity,0.15948275862068967,74,464
protocol,oulab,6,6,base_rf_gini,0.05,activity_conditioned,cutoff_valid,0.1792411687745312,411,2293
protocol,oulab,6,6,base_rf_gini,0.05,activity_to_cutoff_valid,cutoff_valid,0.795484727755644,1198,1506
protocol,oulab,6,6,base_rf_gini,0.05,cutoff_valid_to_activity,cutoff_valid,0.21473495058400718,478,2226
protocol,oulab,6,6,base_rf_gini,0.05,static_full,cutoff_valid,0.08550782818145324,213,2491
evaluation_population,oulab,6,6,base_rf_gini,0.05,activity_conditioned,activity_to_cutoff_valid,0.20338228749443701,457,2247
evaluation_population,oulab,6,6,base_rf_gini,0.05,cutoff_valid,cutoff_valid_to_activity,0.21473495058400718,478,2226
protocol,oulab,6,6,base_rf_gini,0.1,activity_conditioned,cutoff_valid,0.24087256027554535,1049,4355
protocol,oulab,6,6,base_rf_gini,0.1,activity_to_cutoff_valid,cutoff_valid,0.8513189448441247,2485,2919
protocol,oulab,6,6,base_rf_gini,0.1,cutoff_valid_to_activity,cutoff_valid,0.2646852328574772,1131,4273
protocol,oulab,6,6,base_rf_gini,0.1,static_full,cutoff_valid,0.10398365679264555,509,4895
evaluation_population,oulab,6,6,base_rf_gini,0.1,activity_conditioned,activity_to_cutoff_valid,0.26114352392065343,1119,4285
evaluation_population,oulab,6,6,base_rf_gini,0.1,cutoff_valid,cutoff_valid_to_activity,0.2646852328574772,1131,4273
protocol,oulab,6,6,base_rf_gini,0.2,activity_conditioned,cutoff_valid,0.4002850848775431,3089,7717
protocol,oulab,6,6,base_rf_gini,0.2,activity_to_cutoff_valid,cutoff_valid,0.8971207865168539,5110,5696
protocol,oulab,6,6,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid,0.4175521448248721,3183,7623
protocol,oulab,6,6,base_rf_gini,0.2,static_full,cutoff_valid,0.15807523309398777,1475,9331
evaluation_population,oulab,6,6,base_rf_gini,0.2,activity_conditioned,activity_to_cutoff_valid,0.4143979057591623,3166,7640
evaluation_population,oulab,6,6,base_rf_gini,0.2,cutoff_valid,cutoff_valid_to_activity,0.4175521448248721,3183,7623
protocol,oulab,6,6,stack_7_full,0.01,activity_conditioned,cutoff_valid,0.10699588477366255,52,486
protocol,oulab,6,6,stack_7_full,0.01,activity_to_cutoff_valid,cutoff_valid,0.35516372795969775,141,397
